date,quality,weave,quantity,composition,status,_id,rate,agentName,customerName
2024-01-21T15:30:01Z,Primium,Plain,500,Polyester 80%,Pending,0150371ea8a742de9ee5af94,176,Priya,Alice
2024-01-30T11:45:06Z,Economy,Plain,300,Linen 100%,Confirmed,1cc978cf09ef4ce4b144c059,93,Sowmiya,Smith
2024-01-19T03:00:36Z,Primium,Satin,500,Cotton 40%,Confirmed,da809b250d3044fc9284ba0a,420,Sowmiya,Ravi
2024-01-28T19:12:57Z,Stand,Twill,700m,Polyester 80%,Pending,fd7e7bdb3d8b4bbda9834499,420,Mukilan,Alice
2024-01-18T09:17:15Z,Stand,Satin,120m,Cotton 40%,Cancelled,43df7c00b3f846d6bc23eb6e,464,Sowmiya,Smith
2024-01-04T14:09:23Z,Primium,Satin,120m,20%,Cancelled,09ca59e68b744167aebfae9f,231,Mukilan,qilyze
2024-01-22T01:14:32Z,Primium,Plain,120m,Cotton 40%,Confirmed,7aa14b4409e34ccc8c8bc15e,367,Priya,Ravi
2024-01-10T21:30:21Z,Economy,Satin,300,Cotton 60%,Cancelled,76bfab7119684aa89fa4841b,367,Karthik,qilyze
2024-01-20T04:03:03Z,Primium,Plain,120m,20%,Pending,667750811c0b4995bc12d919,176,Mukilan,Smith
2024-01-28T23:12:55Z,Economy,Linen,500,Polyester 80%,Pending,527e3af607e0462bbe6986d4,93,Priya,Smith
2024-01-04T22:16:45Z,Stand,Linen,500,Polyester 80%,Cancelled,52ca5b03eee34c73985b6f06,464,Sowmiya,Alice
2024-01-28T20:16:01Z,Primium,Plain,500,Cotton 60%,Cancelled,2019bf26b75d46fa9e97b750,367,Mukilan,qilyze
2024-01-21T20:38:46Z,Economy,Satin,500,20%,Cancelled,c8f43d71c230420c8287b417,420,Priya,Smith
2024-01-29T21:21:21Z,Stand,Twill,300,Cotton 40%,Pending,0bc7acfb1e7443ba8c78a50f,176,Priya,Ravi
2024-01-04T17:09:25Z,Economy,Plain,1000,Polyester 80%,Pending,a7320852b9b04a989d88069b,231,Priya,qilyze
2024-01-06T10:05:44Z,Economy,Plain,450m,Cotton 40%,Confirmed,d81150128f24464989cc3f29,420,Sowmiya,Smith
2024-01-08T11:26:42Z,Stand,Plain,700m,Linen 100%,Cancelled,b70e7ddfa8a34c8bbc010b49,54,Mukilan,Alice
2024-01-27T05:30:52Z,Primium,Twill,500,Cotton 40%,Pending,539b1e00585048808d0217f2,367,Karthik,Smith
2024-01-10T13:05:37Z,Stand,Satin,120m,Polyester 80%,Pending,765f3ab228e4457fb04ef6a7,54,Karthik,qilyze
2024-01-19T08:08:34Z,Primium,Satin,500,Linen 100%,Cancelled,6cc66463e13a4adbad67a67c,54,Karthik,qilyze
2024-01-06T02:48:14Z,Stand,Satin,500,Linen 100%,Cancelled,35d7c5d60b494207abaffa02,93,Karthik,Ravi
2024-01-26T13:34:24Z,Stand,Satin,120m,Polyester 80%,Pending,80d870dcbd6442898ac8e6b7,367,Karthik,Jhon
2024-01-27T16:18:14Z,Economy,Linen,500,Cotton 40%,Confirmed,bc71c05eef704c03bfb1ad0d,176,Karthik,qilyze
2024-01-27T19:33:02Z,Economy,Linen,300,Cotton 40%,Pending,3ac12dd8229a434c80afebf2,176,Mukilan,Alice
2024-01-06T13:48:38Z,Stand,Plain,1000,20%,Confirmed,c1dc11d7533d40c0966e56e5,93,Karthik,Smith
2024-01-18T19:28:49Z,Stand,Linen,500,Polyester 80%,Pending,f619e4e29f6e4edba3909cdf,54,Priya,Jhon
2024-01-08T01:57:25Z,Primium,Twill,1000,Cotton 40%,Confirmed,6261957350d046bcb20c09e3,404,Sowmiya,Smith
2024-01-05T05:34:06Z,Economy,Plain,1000,Cotton 60%,Cancelled,af42466e8e3840e0ad78d569,404,Priya,Jhon
2024-01-24T00:29:55Z,Stand,Linen,700m,Linen 100%,Pending,ee4d2ff6809d45119571d97b,231,Priya,Ravi
2024-01-10T23:24:28Z,Primium,Linen,500,Linen 100%,Pending,aea0f7db759646e9a8104464,65,Sowmiya,Ravi
2024-01-12T21:09:37Z,Primium,Plain,450m,Polyester 80%,Cancelled,d9f799b70d4b4d8aaa32224b,54,Karthik,qilyze
2024-01-25T16:22:52Z,Stand,Twill,700m,Linen 100%,Pending,1bae0846f2d848d78e87b1cc,464,Karthik,Ravi
2024-01-04T19:36:59Z,Economy,Linen,450m,Polyester 80%,Pending,d82b119643c7430a98b3100a,54,Sowmiya,Smith
2024-01-10T04:27:28Z,Primium,Plain,700m,Linen 100%,Pending,ebb1c3dad77a4d308ce8c498,171,Priya,Ravi
2024-01-08T10:04:30Z,Primium,Twill,500,20%,Pending,38222ce85af34f14a2407993,54,Mukilan,Jhon
2024-01-09T09:26:35Z,Primium,Satin,500,Cotton 60%,Cancelled,d9013c343c6148f7a7217971,65,Karthik,Alice
2024-01-04T00:04:37Z,Economy,Satin,120m,Linen 100%,Confirmed,2d50dbb8d6754ded97f02cec,65,Priya,Jhon
2024-01-29T16:53:20Z,Primium,Satin,500,Linen 100%,Cancelled,4b17fd3531514aaf90c168d3,65,Priya,qilyze
2024-01-25T14:13:28Z,Primium,Satin,120m,20%,Pending,19de399ea5744496a6ffea85,176,Karthik,Smith
2024-01-03T10:15:10Z,Stand,Satin,300,Cotton 40%,Confirmed,2a94ea0e1e61476abda9383d,171,Mukilan,Ravi
2024-01-05T14:21:50Z,Primium,Plain,700m,Linen 100%,Pending,8640b3587cf3488b82d18f1b,65,Priya,Alice
2024-01-24T19:14:30Z,Stand,Satin,1000,Polyester 80%,Confirmed,1737f7c18ac4405cbf917abc,464,Sowmiya,Jhon
2024-01-10T21:07:53Z,Economy,Linen,700m,Cotton 60%,Confirmed,0bb33ad61d044d7c8ee5d869,404,Mukilan,qilyze
2024-01-15T18:35:42Z,Primium,Plain,120m,Linen 100%,Pending,06c4e031da334ae69aced8e3,171,Priya,Jhon
2024-01-30T08:15:32Z,Stand,Satin,450m,20%,Confirmed,5e1c358067624026acd2800a,54,Karthik,Ravi
2024-01-31T16:19:11Z,Economy,Twill,1000,Polyester 80%,Pending,f5c8cb43343644ef9f68e393,54,Priya,qilyze
2024-01-17T06:07:10Z,Economy,Linen,120m,20%,Confirmed,1d5a2914d7fe4fbf84534752,171,Priya,Jhon
2024-01-11T21:16:32Z,Stand,Linen,300,Cotton 40%,Cancelled,97a5969da536485cb694317f,93,Mukilan,qilyze
2024-01-30T20:55:28Z,Primium,Twill,700m,Linen 100%,Pending,0902c279f1d94ecaac46d1fb,54,Karthik,Smith
